name,id,longitude_deg,latitude_deg
Sithouli,STLI,78.1868844,26.1466565
Jhansi Junction,JHS,78.5531478,25.4442950
Ammuguda,AMQ,78.5270833,17.4860479
Tirunelveli Junction,TEN,77.7082063,8.7324050
Tenkasi,TSI,77.3072239,8.9642955
Shengottai,SCT,77.2418907,8.9874468
Jaisalmer,JSM,70.9265571,26.9151973
Odhaniya Chacha,OCH,71.7237121,26.9709637
Ashapura Gomat,AQG,71.8903518,26.9492908
Pokharan,POK,71.9217710,26.9309862
Ramdevra,RDRA,71.9304396,27.0069550
Samrau,SRK,72.7218235,26.8667931
Kolayat,KLYT,72.9545081,27.8352220
Lalgarh Junction,LGH,73.3143261,28.0437017
Bikaner Junction,BKN,73.3162188,28.0141354
Nokha,NOK,73.4762588,27.5547103
Nagaur,NGO,73.7233966,27.1999383
Marwar Mundwa,MDW,73.8160919,27.0628580
Munabao,MBF,70.2772430,25.7436028
Besroli,BSRL,74.5615210,26.9912253
Thathana Mithri,THMR,74.8986398,27.0548214
Saradhna,SDH,74.5664863,26.3403296
Piplaj,PPF,74.3800786,26.1667875
Beawar,BER,74.3132051,26.1076485
Charbhuja Road,CBG,73.9213014,25.3007053
Jalor,JOR,72.6341630,25.3546763
Marwar Bhinmal,MBNL,72.2772769,25.0015300
Bhildi Junction,BLDI,72.0100423,24.1949077
Santalpur,SNLR,71.1822358,23.7598369
Piprala,PFL,71.0945780,23.6498378
Samakhyali Junction,SIOB,70.5029738,23.3098312
Attur,ATU,78.5925939,11.5952414
Dharmapuri,DPJ,78.1542475,12.1256327
Sadulshahr,SDS,74.1727045,29.9026414
Manaksar,MNSR,74.3738713,29.6669593
Hanumangarh Town,HMO,74.3312019,29.5742205
Churu Junction,CUR,74.9665533,28.2887366
Ratangarh West,RXW,74.6102043,28.0727853
Napasar,NPS,73.5641988,27.9812615
Suratgarh Junction,SOG,73.9076120,29.3233486
Loharu Junction,LHU:3;4,75.8029331,28.4270562
Jhilo,JLLO,75.8869695,27.8492908
Narnaul,NNL,76.1233111,28.0445046
Jaswantgarh,JSH,74.4426125,27.6677255
Gulabpura,GBP,74.6557626,25.9025424
Shri Ghasinagar,SHGN,76.6711709,27.1061637
Punalur,PUU,76.9165070,9.0229137
Ponmalai Golden Rock,GOC,78.7104750,10.7918622
Hosur,HSRA,77.8230300,12.7184874
Pugalur,PGR,77.9914702,11.0512588
Dindigul Junction,DG,77.9852640,10.3533568
Omalur,OML,78.0450908,11.7382737
Devarapalli,DPE,77.5119330,13.7237673
Malugur,MLU,77.5414984,13.8916836
Bardoli,BIY,73.1049408,21.1338185
Tiruvallur,TRL,79.9126371,13.1161699
Vadakara,BDJ,75.5867571,11.5942638
Malleswaram,MWM:1,77.5634966,13.0007075
Agra Cantonment,AGC,77.9906109,27.1590463
Chiplun,CHI,73.5211512,17.5425423
Khed,KHED,73.4107693,17.7123950
Kanwalpura,KIW,75.9828434,24.7806798
Bhawani Mandi,BWM,75.8300843,24.4194915
Vaitarna,VTN,72.8501464,19.5187363
Saphale,SAH,72.8206261,19.5778262
Sikandarpur,SKQ,77.0929924,28.4812824
Sultanpur,SLN,77.1600107,28.4985977
New Delhi,NDLS,77.2233502,28.6430376
Anand Vihar,ANVR,77.3160369,28.6468001
Melattur Railway Station,MLTR,76.2726519,11.0649592
Lajpat Nagar,LPNR,77.2364175,28.5705695
Daliganj,DAL,80.9275723,26.8753418
Lucknow Railway Station,LKJ,80.9243609,26.8311583
Aishbagh,ASH,80.9100165,26.8373901
Lucknow City,LC,80.9180893,26.8593065
Asarva,ASV,72.6128057,23.0439830
Sardargram Railwaystation (SDGM),SDGM,72.6426620,23.0715285
Dabhoda,DBO,72.7446575,23.1653099
Rakhiyal,RKH,72.8988116,23.2535509
Prantij,PRJ,72.8663430,23.4306941
Raigadh Road,RGQ,73.1841567,23.5969885
Shamlaji Road,SJS,73.3429732,23.6342328
Lusadiya,LSD,73.4213199,23.6856457
Jagabor,JO,73.4537802,23.7401432
Bechhiwara,Bechhiwara,73.5350968,23.7876083
Umra,UMRA,73.7721556,24.5229623
Degana Junction,DNA:3;4,74.3171042,26.8972554
Changsari,CGS,91.6940301,26.2615608
New Jalpaiguri,NJP,88.4433218,26.6831979
Roorkee,RK,77.8749412,29.8521060
Kartarpur,KRE,75.4936677,31.4319793
Padubidri,PDD,74.7679110,13.1969920
Innanje,INJ,74.7618225,13.2561917
Bhatkal,BTJL,74.5673020,13.9870120
Karwar,KAWR,74.1827659,14.8199701
Karmali,KRMI,73.9246968,15.4906494
Roha,ROHA,73.1230944,18.4469576
Tirur,TIR,75.9223297,10.9171785
Belgaum,BGM,74.5090650,15.8489677
Patiala,PTA,76.4020417,30.3424648
Katpadi Junction,KPD,79.1371008,12.9723301
Pakala Junction,PAK,79.1151174,13.4510187
Kotala,KEN,79.2945233,13.6115602
Vizianagaram Junction,VZM,83.3957069,18.1114018
Santragachi Junction,SRC,88.2846880,22.5830394
Visakhapatnam,VSKP,83.2900966,17.7212425
Peddadinne,PDNA,77.8296460,16.1239440
Gadwal,GWD,77.8099780,16.2275896
Chigicherla,CCA,77.6837341,14.5177780
Zangalapalle,ZPL,77.6410130,14.5909950
Dharmavaram Junction,DMM,77.7161968,14.4261224
Gooty Junction,GY,77.6258004,15.1495393
Malliyala,MYL,77.7770223,15.3975819
Alampur Road,ALPR,78.0457846,15.9116887
Chettinad,CTND,78.7761995,10.1598976
Pudukkottai,PDKT,78.8015797,10.3696611
Turavur,TUVR,76.3103708,9.7749763
Jalgaon Junction,JL,75.5630360,21.0183053
Ramanagara,RMR,77.2857089,12.7234569
Mahalaxmi,MX,72.8239733,18.9821414
Andheri,ADH,72.8467402,19.1194265
Lower Parel,PL,72.8305819,18.9962130
Diva Junction,DIVA,73.0432052,19.1888270
Kalyan,KYN:7;8,73.1308837,19.2348835
Grant Road,GTR,72.8159299,18.9632894
Station,DEC,77.1159424,28.6126324
Karjat,KJT,73.3206852,18.9100836
Veraval,VRL,70.3708504,20.9124511
Gondal,GDL,70.7956163,21.9729315
Tsakibanda,TKBN,77.1784632,15.1634853
Bevinahalu,BNL,77.2111596,15.1672817
Chakulia,CKU,86.7213758,22.4782986
Londa Junction,LD,74.4965410,15.4494989
Miraj Junction,MRJ,74.6390259,16.8196314
Karad,KRD,74.2151843,17.3117514
Satara,STR,74.0633639,17.6884571
Bhanapur,BNP,76.0391337,15.3866467
Badami,BDM,75.6766390,15.9593122
Bagalkot,BGK,75.7011281,16.1799662
Bijapur,BJP,75.7396897,16.8300181
Latur,LUR,76.5557705,18.4297701
Indara Junction,IAA,83.6164243,25.9868809
Ujjain Junction,UJN,75.7824422,23.1796385
Dewas,DWX,76.0508559,22.9768612
Dharwar,DWR,75.0031496,15.4415707
Bantwal,BNTL,75.0339227,12.8779863
Solapur,SUR,75.8931925,17.6639506
Bharoli,BHRL,75.6167517,32.2713565
Pathankot,PTK,75.6478063,32.2720668
Bari Brahman,BBMN,74.9164917,32.6388452
Udhampur,UHP,75.1540770,32.9261838
Khadki,KK,73.8404533,18.5641718
Reddigudem,REM,80.0492205,16.4429244
Guntur Junction,GNT,80.4432851,16.3013554
Nalgonda,NLDA,79.2833182,17.0609394
Adoni,AD,77.2743250,15.6177364
Yadagiri,YG,77.1297715,16.7441720
Shahabad,SDB,76.9434676,17.1216980
Station,MWM:2,77.5634443,13.0006863
Carmelaram,CRLM,77.7059369,12.9068184
Nawandgi,NAW,77.4269382,17.2164675
Tandur,TDU,77.5857350,17.2507221
Bidar,BIDR,77.5154288,17.9116497
Rameshwaram,RWM:1,79.3081232,9.2817603
Ratanpura,RTP,83.7444266,25.9219071
Tiruchendur,TCN,78.1174746,8.5023247
Tuticorin,TN,78.1560624,8.8059628
Manamadurai Junction,MNM,78.4533331,9.6836600
Gudur Junction,GDR,79.8453793,14.1484852
Krishnapuram,KPU,78.7744689,14.4962511
Nellore,NLR,79.9898887,14.4619030
Cuddapah,HX,78.8296306,14.4512111
Marikuppam,MKM,78.2645385,12.9153924
Chamarajanagar,CMNR,76.9331345,11.9346624
Puttur,PUT,75.2049635,12.7687786
Munirabad,MRB,76.3356942,15.3083384
Shimoga Town,SMET,75.5840150,13.9436021
Talguppa,TLGP,74.9144728,14.2140954
Ghagwal,GHGL,75.2130177,32.5049677
Mannargudi,MQ,79.4553009,10.6753489
Prashanti Nilayam,SSPN,77.7588476,14.1616245
Tanguturu,TNR,80.0337846,15.3375581
Machavaram,MCVM,80.5420971,16.0260076
Tettu,TTU,80.0058989,15.0424166
Tenali Junction,TEL,80.6403081,16.2417792
Penumarru,PUMU,80.7743860,16.1338884
Mangalagiri,MAG,80.5641885,16.4375782
Repalle,RAL,80.8284574,16.0198770
Vemuru,VMU,80.7426537,16.1778008
Machilipatnam,MTM,81.1386839,16.1716503
Kovvur,KVR,81.7264642,17.0068807
Tadepalligudem,TDD,81.5263882,16.8097985
Chilakalapudi,CLU,81.1623301,16.2129005
Navabpalem,NBM,81.6055778,16.8312213
Godavari,GVN,81.7712704,17.0070200
Mahbubnagar,MBNR,77.9996136,16.7579177
Vikarabad Junction,VKB,77.9099374,17.3381679
Nilambur Road,NIL,76.2543247,11.2786503
Okha,OKHA,69.0766195,22.4717374
Mithapur,MTHP,69.0097713,22.4128019
Bhuj,BHUJ,69.6784427,23.2660728
Siliguri Junction,SLG,88.4136247,26.7239497
New Mal Junction,NMZ,88.7235148,26.8729918
Falakata,FLK,89.1914238,26.5392302
Rangiya Junction,RNY,91.6069800,26.4467608
Dimapur,DMV,93.7283965,25.9071981
Simaluguri Junction,SLGR,94.7586369,26.9181928
Barpathar,BXP,93.8621654,26.1951622
Dibrugarh Town,DBRT,94.9008577,27.4778284
Sapekhati,SPK,95.1676257,27.1128545
Furkating Junction,FKG,94.0017753,26.4647571
Salem Town,SXT,78.1620512,11.6600473
Dhampur,DPR,78.5021975,29.3057506
Najibabad Junction,NBD,78.3363865,29.6037183
Chikjajur Junction,JRU,76.1390642,14.1252370
Jaunpur Junction,JNU,82.6994065,25.7622487
Rayagada,RGDA,83.4103478,19.1767105
Kazipet Junction,KZJ,79.5118595,17.9749783
Chintalpalli,CLE,79.7019789,17.9143325
Kesamudram,KDM,79.8969536,17.6859424
Nekkonda,NKD,79.8044106,17.7947563
Garla,GLA,80.1392949,17.4860901
Itarsi Junction,ET,77.7672810,22.6080995
Bir,BIR,76.5469463,22.0526482
Batala Junction,BAT,75.1938080,31.8213001
Gurdaspur,GSP,75.4202647,32.0436565
Margherita,MRG,95.6598562,27.2899156
Jogighopa,JPZ,90.5752922,26.2404912
Mariani Junction,MXN,94.3085400,26.6527607
Fazilka,FKA,74.0260747,30.4089359
Fakiragram Junction,FKM,90.1860842,26.3643854
Goalpara Town,GLPT,90.6229849,26.1253816
Dhubri,DBB,89.9775295,26.0224146
Jangam,ZN,79.1540983,17.7245753
Giddalur,GID,78.9259682,15.3795964
Bhimavaram Town,BVRT,81.5171480,16.5477674
Bhimavaram Junction,BVRM,81.5374494,16.5443396
Undi,UNDI,81.4591513,16.5804109
Kurichedu,KCD,79.5719356,15.9126903
Narasapur,NS,81.6992535,16.4451432
Putlacheruvu,PCU,81.1122175,16.4845582
Harpalpur,HPP,79.3343225,25.2905787
Nizamabad,NZB,78.1038920,18.6789957
Tuggali,TGL,77.5307638,15.3112548
Rangapuram,RGM,78.0585560,15.4057806
Nandyal,NDL,78.4708639,15.4692162
Madanapalle Road,MPL,78.5533362,13.6439277
Kalikiri,KCI,78.8000171,13.6436227
Parbhani Junction,PBN,76.7733394,19.2576693
Jalna,J,75.8918897,19.8310637
Kadiri,KRY,78.1669527,14.1108249
Nallacheruvu,NCU,78.1780093,14.0208911
Mudigubba,MGB,77.9949764,14.3495729
Donakonda,DKD,79.4878327,15.8358763
Khandwa,KNW,76.3535852,21.8232560
Latur Road Junction,LTRR,76.8451212,18.5062253
Yedshi,YSI,75.9770884,18.3172848
Gwalior Junction,GWL,78.1819742,26.2161734
Washim,WHM,77.1483006,20.1024688
Purna Junction,PAU,77.0254133,19.1803133
Daund Junction,DD,74.5787472,18.4637955
Kalluru Junction,KLU,77.5814384,14.9249466
Tuni,TUNI,82.5420254,17.3606953
Yerraguntla,YA,78.5337882,14.6433854
Pithapuram,PAP,82.2575660,17.1112762
Nadikudi Junction,NDKD,79.7247952,16.5906894
Karepalli,KRA,80.2711073,17.5109446
Gajraula Junction,GJL,78.2503612,28.8349817
Maikalganj,MINJ,80.3377884,27.7172915
Sitapur Cantonment,SCC,80.7009628,27.5567001
Khalilabad,KLD,83.0536830,26.7753946
Garhmuktesar,GMS,78.0765098,28.7806680
Maghar,MHH,83.1325067,26.7496619
Amroha,AMRO,78.4744250,28.8922603
Bettiah,BTH,84.5214124,26.8055316
Hapur,HPU,77.7787152,28.7392275
Sitapur City Junction,SPC,80.6801746,27.5840151
Malda Town,MLDT,88.1299053,25.0168233
Ib,IB,83.9482146,21.8165088
Balurghat,BLGT,88.7580544,25.2329494
Bilaspur Junction,BSP,82.1719639,22.0559689
Rewa,REWA,81.2513306,24.5376414
Guna Junction,GUNA,77.3150251,24.6405848
Ratlam Junction,RTM:1,75.0505211,23.3407444
Darbhanga Junction,DBG,85.9074776,26.1545534
Tarsarai,TRS,86.0133470,26.1941695
Kumedpur,KDPR,87.8067134,25.4280430
Kahalgaon,CLG,87.2344166,25.2628048
Kursela,KUE,87.2539168,25.4410507
Station,BJU:6,85.9878688,25.4617330
Ballia,BUI,84.1489076,25.7594059
Shivajinagar,SVJR,73.8512793,18.5326017
Muhammadabad,MMA,83.7476707,25.6371350
Barhaj Bazar,BHJ,83.7308963,26.2840111
Padrauna,POU,83.9827566,26.8975873
Masrakh,MHC,84.8092988,26.1002711
Nautanwa,NTV,83.4213373,27.4274679
Phagwara Junction,PGW,75.7652035,31.2172888
Ghoradongri,GDYA,78.0025185,22.1253704
Hinganghat,HGT,78.8342662,20.5418572
Ramagundam,RDM,79.4347639,18.7639594
Wangapalli,WP,78.9850414,17.5815910
Wihirgaon,VHGN,79.4412874,19.7246108
Wardha Junction,WR,78.5935988,20.7324292
Warora,WRR,79.0105007,20.2446060
Kalol,KLL,72.5036114,23.2437233
Bonakal,BKL,80.2630414,17.0294851
Faizabad Junction,FD,82.1357988,26.7689954
Janghai Junction,JNH,82.3099519,25.5502284
Shahganj Junction,SHG,82.6798422,26.0612677
Amethi,AME,81.8069900,26.1522706
Rajghat Narora,RG,78.3540816,28.2361806
Chandausi Junction,CH,78.7783801,28.4596517
Mathura Junction,MTJ:5,77.6733024,27.4800512
Bhuteshwar,BTSR,77.6677092,27.5017152
Mathura Cantonment,MRT,77.6849878,27.4910855
Gubbi,GBB,76.9390632,13.3215412
Sanka,SNKR,86.6147759,23.5283809
Balod,BXA,81.2014880,20.7396816
Dalli Rajhara,DRZ,81.0683115,20.5881167
Madhupur Junction,MDP,86.6422975,24.2707847
Giridih,GRD,86.3144844,24.1817376
Rajgir,RGD,85.4150197,25.0327006
Jasidih Junction,JSME,86.6439950,24.5146790
Paharpur,PRP,85.2052104,24.6255201
Bakhtiyarpur Junction,BKP,85.5298681,25.4562148
Bihar Sharif,BEHS,85.5394293,25.2032771
Jaynagar,JYG,86.1346618,26.5894133
Mansi Junction,MNE,86.5552498,25.5091508
Radhikapur,RDP,88.4477800,25.6431375
Babina,BAB,78.4521045,25.2381538
Bina Junction,BINA,78.1837171,24.1710710
Ruthiyai Junction,RTA,77.1805990,24.5352824
Agasod,AGD,78.2177261,24.2348798
Dusi,DUSI,83.8591431,18.3696344
Jakhal Junction,JHL,75.8209198,29.8032833
Budhlada,BLZ,75.5471514,29.9228112
Sangrur,SAG,75.8301705,30.2423830
Mukerian,MEX,75.6117391,31.9421934
Muktsar,MKS,74.5146609,30.4789257
Sikar Junction,SIKR,75.1532120,27.6168661
Ratangarh Junction,RTGH,74.6248091,28.0689193
Mahendragarh,MHRG,76.1481480,28.2811378
Station,HMH:3;4,74.2940668,29.6123477
Rewari Junction,RE,76.6108607,28.2024822
Hanumangarh Junction,HMH:1;2,74.2939393,29.6124551
Ringas Junction,RGS:1;2,75.5634670,27.3728525
Station,RGS:3;4,75.5633573,27.3728997
Chittaurgarh Junction,COR,74.6235745,24.8750854
Chanderia,CNA,74.6300137,24.9394757
Gurla,GQL,75.8861084,25.2713645
Bhilwara,BHL,73.7001734,26.1862810
Station,MJ:5;6,73.6090076,25.7196588
Kasara Railway Station,KSRA,73.4725472,19.6478611
Palakollu,PKO,81.7170486,16.5221339
Rangpara North Junction,RPAN,92.6829983,26.8216897
Tezpur,TZTB,92.7877466,26.6177813
Udalguri,ULG,92.0990314,26.7446389
Dekargaon,DKGN,92.7343485,26.7086354
Bongaigaon,BNGN,90.5605955,26.4786609
Alipur Duar Junction,APDJ,89.5339265,26.5235820
Jalpaiguri,JPG,88.7241211,26.5183244
Haldibari,HDB,88.7819983,26.3387856
Nalbari,NLV,91.4390212,26.4508167
Golaghat,GLGT,93.9616102,26.5090849
Lumding Junction,LMG,93.1770898,25.7502788
Silghat Town,SHTT,92.9299564,26.6074953
Raha,RAHA,92.5272443,26.2320327
Senchoa Junction,SCE,92.6425741,26.3114212
Chaparmukh Junction,CPK,92.5120881,26.2029451
Nagaon,NGAN,92.6982806,26.3482962
Sibsagar Town,SRTN,94.6497922,26.9866347
Moranhat,MRHT,94.9187530,27.1821701
Mirzapur,MZP,82.5692220,25.1346780
Tumkur,TK,77.1017429,13.3337687
Okhla,OKA,77.2755616,28.5431246
Sahibabad,SBB,77.3645169,28.6741241
Orai,ORAI,79.4596778,25.9826717
Katni Junction,KTE,80.4010051,23.8347931
Damoh,DMO,79.4321511,23.8366114
Katni Murwara,KMZ,80.3917098,23.8309248
Singrauli,SGRL,82.6425920,24.2046546
Karak Bel,KKB,79.3402871,22.9915254
Gadarwara,GAR,78.7914392,22.8993574
Bankhedi,BKH,78.5336348,22.7748923
Kareli,KY,79.0674211,22.9321709
Narsinghpur,NU,79.2141259,22.9428270
Dundi,DDCE,80.2174355,23.5578057
Hoshangabad,HBD,77.7169245,22.7529820
Budni,BNI,77.6813410,22.7868916
Chhindwara Junction,CWA,78.9539892,22.0582380
Pendra Road,PND,81.8990005,22.7557672
Chirmiri,CHRM,82.3498026,23.1898407
Tilda,TLD,81.7950044,21.5517491
Bhatapara,BYT,81.9459554,21.7323612
Bijuri,BJRI,82.1196369,23.2512046
Kotma,KTMA,81.9791065,23.2026932
Karonji,KJZ,82.9405283,23.2754182
Katora,KTO,82.6807603,23.3079759
Darritola,DTL,82.3983364,23.2910828
Botad Junction,BTD,71.6659331,22.1830134
Limbdi,LM,71.7898463,22.5657612
Dhola Junction,DLJ,71.7404571,21.8212393
Sadar Bazar,DSB,77.2171119,28.6580648
Dhasa Junction,DAS,71.5181008,21.7825782
Rajula Junction,RLA,71.4814516,21.1022141
Keshod,KSD,70.2517465,21.2978817
Somnath,SMNH,70.4080217,20.8959934
Vasco Da Gama,VSG,73.8120707,15.3960900
Rupnagar,RPAR,76.5334798,30.9723029
Nangal Dam,NLDM,76.3729984,31.3711935
Sitapur Junction,STP,80.7011426,27.5571216
Lakhimpur,LMP,80.7773656,27.9468850
Kathgodam,KGM,79.5466785,29.2666824
Bhojipura,BPR,79.4475825,28.4946940
Haldwani,HDW,79.5334146,29.2156664
Tanakpur,TPU,80.1094977,29.0673127
Bahraich,BRK,81.6074972,27.5821182
Anand Nagar,ANDN,83.2698511,27.0995830
Saharsa Junction,SHC,86.5944396,25.8733416
Bareilly (MG),BRY,79.4101779,28.3356031
Bareilly City,BC,79.4031723,28.3562014
Izatnagar Junction,IZN,79.4210706,28.3889022
Hindaun City,HAN,77.0312771,26.7557490
Bharatpur Junction,BTE,77.4875772,27.2368832
Gangapur City,GGC,76.7269735,26.4682301
Palam,PM,77.0925886,28.5851351
Bijwasan,BWSN,77.0503258,28.5354724
Jagdalpur,JDB,82.0138232,19.0662488
Jeypore,JYP,82.5570029,18.8944267
Kirandul,KRDL,81.2597194,18.6388065
Khopoli,KP,73.3457945,18.7886796
Manchiryal,MCI,79.4493592,18.8791181
Peddapalli Junction,PDPL,79.3923031,18.6135180
Pandurangapuram,PGP,80.7650921,17.7197941
Aswapuram,AWM,80.8042722,17.8319717
Chimalpahad,CMW,80.3832347,17.4934238
Bethampudi,BTPD,80.5286099,17.5294922
Gajulagudem,GLE,80.6594229,17.6110723
Kottarakara,KKZ,76.7657673,9.0003675
Sivaganga,SVGA,78.5006031,9.8545001
Karaikkudi Junction,KKDI,78.7926112,10.0679941
Haldia,HLZ,88.0655019,22.0448620
Chidambaram,CDM,79.7032163,11.3920474
Kundara,KUV,76.6778984,8.9603271
Sholinghur,SHU,79.4860057,13.0143128
Kadiyam,KYM,81.8340590,16.9144182
Tanuku,TNKU,81.6733847,16.7543485
Pulla,PUA,81.3233824,16.8097658
Bhimadolu,BMD,81.2630856,16.8085158
Ashokapuram,AP,76.6357181,12.2738127
Naganahalli,NHY,76.6504010,12.3810978
Banskho,BSKO,76.1682589,26.8574658
Dausa,DO,76.3301616,26.9003069
Jutogh,JTO,77.1225499,31.1013121
Station,GDY:4,80.2128072,13.0082177
Guindy,GDY:1,80.2124998,13.0085147
Cuddalore Port Junction,CUPJ,79.7669948,11.7158383
Tiruppadirippuliyur,TDPR,79.7538208,11.7481258
Kandaghat,KDZ,77.1073695,30.9659823
Salogra,SLR,77.1311660,30.9350756
